"county","county_name","county_TR_code","dimension","dimension_desc","year","value"
"001","Adams","53001","ACS:B14001>1","Total","2015",17801
"001","Adams","53001","ACS:B14001>1>10","Not enrolled in school","2015",12478
"001","Adams","53001","ACS:B14001>1>2","Enrolled in school","2015",5323
"001","Adams","53001","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",323
"001","Adams","53001","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",488
"001","Adams","53001","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",1476
"001","Adams","53001","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",1185
"001","Adams","53001","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",1348
"001","Adams","53001","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",433
"001","Adams","53001","ACS:B14001>1>2>9","Graduate or professional school","2015",70
"003","Asotin","53003","ACS:B14001>1","Total","2015",21336
"003","Asotin","53003","ACS:B14001>1>10","Not enrolled in school","2015",16258
"003","Asotin","53003","ACS:B14001>1>2","Enrolled in school","2015",5078
"003","Asotin","53003","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",301
"003","Asotin","53003","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",312
"003","Asotin","53003","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",1037
"003","Asotin","53003","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",1011
"003","Asotin","53003","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",1224
"003","Asotin","53003","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",1069
"003","Asotin","53003","ACS:B14001>1>2>9","Graduate or professional school","2015",124
"005","Benton","53005","ACS:B14001>1","Total","2015",177023
"005","Benton","53005","ACS:B14001>1>10","Not enrolled in school","2015",128793
"005","Benton","53005","ACS:B14001>1>2","Enrolled in school","2015",48230
"005","Benton","53005","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",2839
"005","Benton","53005","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",2949
"005","Benton","53005","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",10279
"005","Benton","53005","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",11301
"005","Benton","53005","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",11514
"005","Benton","53005","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",8290
"005","Benton","53005","ACS:B14001>1>2>9","Graduate or professional school","2015",1058
"007","Chelan","53007","ACS:B14001>1","Total","2015",71205
"007","Chelan","53007","ACS:B14001>1>10","Not enrolled in school","2015",53937
"007","Chelan","53007","ACS:B14001>1>2","Enrolled in school","2015",17268
"007","Chelan","53007","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",903
"007","Chelan","53007","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",701
"007","Chelan","53007","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",3620
"007","Chelan","53007","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",4683
"007","Chelan","53007","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",4208
"007","Chelan","53007","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",2920
"007","Chelan","53007","ACS:B14001>1>2>9","Graduate or professional school","2015",233
"009","Clallam","53009","ACS:B14001>1","Total","2015",70423
"009","Clallam","53009","ACS:B14001>1>10","Not enrolled in school","2015",56391
"009","Clallam","53009","ACS:B14001>1>2","Enrolled in school","2015",14032
"009","Clallam","53009","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",938
"009","Clallam","53009","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",730
"009","Clallam","53009","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",2670
"009","Clallam","53009","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",3097
"009","Clallam","53009","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",3457
"009","Clallam","53009","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",2772
"009","Clallam","53009","ACS:B14001>1>2>9","Graduate or professional school","2015",368
"011","Clark","53011","ACS:B14001>1","Total","2015",428042
"011","Clark","53011","ACS:B14001>1>10","Not enrolled in school","2015",311217
"011","Clark","53011","ACS:B14001>1>2","Enrolled in school","2015",116825
"011","Clark","53011","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",6621
"011","Clark","53011","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",6769
"011","Clark","53011","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",25257
"011","Clark","53011","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",25569
"011","Clark","53011","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",27052
"011","Clark","53011","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",22285
"011","Clark","53011","ACS:B14001>1>2>9","Graduate or professional school","2015",3272
"013","Columbia","53013","ACS:B14001>1","Total","2015",3876
"013","Columbia","53013","ACS:B14001>1>10","Not enrolled in school","2015",3101
"013","Columbia","53013","ACS:B14001>1>2","Enrolled in school","2015",775
"013","Columbia","53013","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",16
"013","Columbia","53013","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",7
"013","Columbia","53013","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",146
"013","Columbia","53013","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",190
"013","Columbia","53013","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",229
"013","Columbia","53013","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",173
"013","Columbia","53013","ACS:B14001>1>2>9","Graduate or professional school","2015",14
"015","Cowlitz","53015","ACS:B14001>1","Total","2015",98397
"015","Cowlitz","53015","ACS:B14001>1>10","Not enrolled in school","2015",75220
"015","Cowlitz","53015","ACS:B14001>1>2","Enrolled in school","2015",23177
"015","Cowlitz","53015","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",1485
"015","Cowlitz","53015","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",1317
"015","Cowlitz","53015","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",5193
"015","Cowlitz","53015","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",5527
"015","Cowlitz","53015","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",5417
"015","Cowlitz","53015","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",3885
"015","Cowlitz","53015","ACS:B14001>1>2>9","Graduate or professional school","2015",353
"017","Douglas","53017","ACS:B14001>1","Total","2015",37994
"017","Douglas","53017","ACS:B14001>1>10","Not enrolled in school","2015",28304
"017","Douglas","53017","ACS:B14001>1>2","Enrolled in school","2015",9690
"017","Douglas","53017","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",369
"017","Douglas","53017","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",599
"017","Douglas","53017","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",2632
"017","Douglas","53017","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",2301
"017","Douglas","53017","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",2353
"017","Douglas","53017","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",1336
"017","Douglas","53017","ACS:B14001>1>2>9","Graduate or professional school","2015",100
"019","Ferry","53019","ACS:B14001>1","Total","2015",7445
"019","Ferry","53019","ACS:B14001>1>10","Not enrolled in school","2015",5900
"019","Ferry","53019","ACS:B14001>1>2","Enrolled in school","2015",1545
"019","Ferry","53019","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",60
"019","Ferry","53019","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",
"019","Ferry","53019","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",246
"019","Ferry","53019","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",389
"019","Ferry","53019","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",519
"019","Ferry","53019","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",238
"019","Ferry","53019","ACS:B14001>1>2>9","Graduate or professional school","2015",12
"021","Franklin","53021","ACS:B14001>1","Total","2015",81224
"021","Franklin","53021","ACS:B14001>1>10","Not enrolled in school","2015",55827
"021","Franklin","53021","ACS:B14001>1>2","Enrolled in school","2015",25397
"021","Franklin","53021","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",1270
"021","Franklin","53021","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",1691
"021","Franklin","53021","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",6489
"021","Franklin","53021","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",5715
"021","Franklin","53021","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",6358
"021","Franklin","53021","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",3514
"021","Franklin","53021","ACS:B14001>1>2>9","Graduate or professional school","2015",360
"023","Garfield","53023","ACS:B14001>1","Total","2015",2135
"023","Garfield","53023","ACS:B14001>1>10","Not enrolled in school","2015",1723
"023","Garfield","53023","ACS:B14001>1>2","Enrolled in school","2015",412
"023","Garfield","53023","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",16
"023","Garfield","53023","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",29
"023","Garfield","53023","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",115
"023","Garfield","53023","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",101
"023","Garfield","53023","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",115
"023","Garfield","53023","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",25
"023","Garfield","53023","ACS:B14001>1>2>9","Graduate or professional school","2015",
"025","Grant","53025","ACS:B14001>1","Total","2015",87219
"025","Grant","53025","ACS:B14001>1>10","Not enrolled in school","2015",62359
"025","Grant","53025","ACS:B14001>1>2","Enrolled in school","2015",24860
"025","Grant","53025","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",1311
"025","Grant","53025","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",2039
"025","Grant","53025","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",5932
"025","Grant","53025","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",5578
"025","Grant","53025","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",6283
"025","Grant","53025","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",3233
"025","Grant","53025","ACS:B14001>1>2>9","Graduate or professional school","2015",484
"027","Grays Harbor","53027","ACS:B14001>1","Total","2015",69078
"027","Grays Harbor","53027","ACS:B14001>1>10","Not enrolled in school","2015",53901
"027","Grays Harbor","53027","ACS:B14001>1>2","Enrolled in school","2015",15177
"027","Grays Harbor","53027","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",1067
"027","Grays Harbor","53027","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",854
"027","Grays Harbor","53027","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",3035
"027","Grays Harbor","53027","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",3420
"027","Grays Harbor","53027","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",3671
"027","Grays Harbor","53027","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",2984
"027","Grays Harbor","53027","ACS:B14001>1>2>9","Graduate or professional school","2015",146
"029","Island","53029","ACS:B14001>1","Total","2015",76609
"029","Island","53029","ACS:B14001>1>10","Not enrolled in school","2015",60934
"029","Island","53029","ACS:B14001>1>2","Enrolled in school","2015",15675
"029","Island","53029","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",908
"029","Island","53029","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",831
"029","Island","53029","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",3244
"029","Island","53029","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",3465
"029","Island","53029","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",3511
"029","Island","53029","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",3113
"029","Island","53029","ACS:B14001>1>2>9","Graduate or professional school","2015",603
"031","Jefferson","53031","ACS:B14001>1","Total","2015",29381
"031","Jefferson","53031","ACS:B14001>1>10","Not enrolled in school","2015",24984
"031","Jefferson","53031","ACS:B14001>1>2","Enrolled in school","2015",4397
"031","Jefferson","53031","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",319
"031","Jefferson","53031","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",195
"031","Jefferson","53031","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",904
"031","Jefferson","53031","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",824
"031","Jefferson","53031","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",1094
"031","Jefferson","53031","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",882
"031","Jefferson","53031","ACS:B14001>1>2>9","Graduate or professional school","2015",179
"033","King","53033","ACS:B14001>1","Total","2015",1971581
"033","King","53033","ACS:B14001>1>10","Not enrolled in school","2015",1482906
"033","King","53033","ACS:B14001>1>2","Enrolled in school","2015",488675
"033","King","53033","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",33514
"033","King","53033","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",23913
"033","King","53033","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",93414
"033","King","53033","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",92175
"033","King","53033","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",91190
"033","King","53033","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",118411
"033","King","53033","ACS:B14001>1>2>9","Graduate or professional school","2015",36058
"035","Kitsap","53035","ACS:B14001>1","Total","2015",246766
"035","Kitsap","53035","ACS:B14001>1>10","Not enrolled in school","2015",188077
"035","Kitsap","53035","ACS:B14001>1>2","Enrolled in school","2015",58689
"035","Kitsap","53035","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",3772
"035","Kitsap","53035","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",3045
"035","Kitsap","53035","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",11950
"035","Kitsap","53035","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",12119
"035","Kitsap","53035","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",12706
"035","Kitsap","53035","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",12744
"035","Kitsap","53035","ACS:B14001>1>2>9","Graduate or professional school","2015",2353
"037","Kittitas","53037","ACS:B14001>1","Total","2015",40910
"037","Kittitas","53037","ACS:B14001>1>10","Not enrolled in school","2015",26916
"037","Kittitas","53037","ACS:B14001>1>2","Enrolled in school","2015",13994
"037","Kittitas","53037","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",404
"037","Kittitas","53037","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",442
"037","Kittitas","53037","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",1893
"037","Kittitas","53037","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",1476
"037","Kittitas","53037","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",1745
"037","Kittitas","53037","ACS:B14001>1>2>8","Enrolled in college, undergraduate years","2015",7325
"037","Kittitas","53037","ACS:B14001>1>2>9","Graduate or professional school","2015",709
"039","Klickitat","53039","ACS:B14001>1","Total","2015",20171
"039","Klickitat","53039","ACS:B14001>1>10","Not enrolled in school","2015",15905
"039","Klickitat","53039","ACS:B14001>1>2","Enrolled in school","2015",4266
"039","Klickitat","53039","ACS:B14001>1>2>3","Enrolled in nursery school, preschool","2015",291
"039","Klickitat","53039","ACS:B14001>1>2>4","Enrolled in kindergarten","2015",280
"039","Klickitat","53039","ACS:B14001>1>2>5","Enrolled in grade 1 to grade 4","2015",1278
"039","Klickitat","53039","ACS:B14001>1>2>6","Enrolled in grade 5 to grade 8","2015",840
"039","Klickitat","53039","ACS:B14001>1>2>7","Enrolled in grade 9 to grade 12","2015",969
