county,county_name,county_TR_code,year,value
001,Adams,53001,2015,6.8
003,Asotin,53003,2015,4.7
005,Benton,53005,2015,6.6
007,Chelan,53007,2015,5.5
009,Clallam,53009,2015,8
011,Clark,53011,2015,6.4
013,Columbia,53013,2015,6.4
015,Cowlitz,53015,2015,7.6
017,Douglas,53017,2015,6.3
019,Ferry,53019,2015,10.2
021,Franklin,53021,2015,7.5
023,Garfield,53023,2015,6.1
025,Grant,53025,2015,7.1
027,Grays Harbor,53027,2015,8.9
029,Island,53029,2015,6
031,Jefferson,53031,2015,7.1
033,King,53033,2015,4.4
035,Kitsap,53035,2015,5.5
037,Kittitas,53037,2015,6.1
039,Klickitat,53039,2015,7.1
041,Lewis,53041,2015,8.3
043,Lincoln,53043,2015,5.8
045,Mason,53045,2015,7.7
047,Okanogan,53047,2015,6.9
049,Pacific,53049,2015,9.1
051,Pend Oreille,53051,2015,9.5
053,Pierce,53053,2015,6.3
055,San Juan,53055,2015,4.8
057,Skagit,53057,2015,6.7
059,Skamania,53059,2015,7.3
061,Snohomish,53061,2015,4.8
063,Spokane,53063,2015,6.4
065,Stevens,53065,2015,8.8
067,Thurston,53067,2015,5.9
069,Wahkiakum,53069,2015,9.1
071,Walla Walla,53071,2015,5.8
073,Whatcom,53073,2015,5.9
075,Whitman,53075,2015,4.7
077,Yakima,53077,2015,8
